time,dev_addr,f_cnt,home_network_net_id,forwarder_gateway_id
2023-01-04 00:00:00.047604 UTC,0028550A,24210,0,eui-3436323866005100
2023-01-04 00:00:00.048252 UTC,1111F110,5384,8,eui-00800000a0004e9f
2023-01-04 00:00:00.054113 UTC,00B9F34E,20142,0,tzl-campus-wtp
2023-01-04 00:00:00.056425 UTC,00A84D1D,34813,0,ifremer-doi-gateway
2023-01-04 00:00:00.057385 UTC,005D6004,63690,0,ifremer-doi-gateway
2023-01-04 00:00:00.08251 UTC,01DB0E15,23835,0,eui-3436323866005100
2023-01-04 00:00:00.094724 UTC,1111F110,5384,8,eui-00800000a00061e3
2023-01-04 00:00:00.095379 UTC,00F4EC14,43009,0,ifremer-doi-gateway
2023-01-04 00:00:00.095656 UTC,014E1E95,39332,0,ifremer-doi-gateway
2023-01-04 00:00:00.097234 UTC,10D9A997,1788,8,eui-00800000a00061e1
2023-01-04 00:00:00.109625 UTC,3091FD03,35619,18,ch-zrh-kaeferberg
2023-01-04 00:00:00.111224 UTC,103BE8AE,1936,8,eui-00800000a00061e3
2023-01-04 00:00:00.112314 UTC,103BE8AE,1936,8,eui-00800000a0004e9f
2023-01-04 00:00:00.12097 UTC,104988BF,13860,8,eui-00800000a00061e0
2023-01-04 00:00:00.12349 UTC,104988BF,13860,8,eui-00800000a0004e9f
2023-01-04 00:00:00.132392 UTC,162094,19831,0,uhv3-roundtop-tower
2023-01-04 00:00:00.160936 UTC,0106444E,25987,0,ifremer-doi-gateway
2023-01-04 00:00:00.181466 UTC,10AFA95A,3640,8,eui-00800000a00061e0
2023-01-04 00:00:00.212283 UTC,1014F4EF,462,8,eui-00800000a00061e1
2023-01-04 00:00:00.212752 UTC,00D2D5B3,25793,0,ifremer-doi-gateway
2023-01-04 00:00:00.236063 UTC,10AFA95A,3640,8,eui-00800000a0004e9f
2023-01-04 00:00:00.246056 UTC,260B5A57,6183,13,nuig-new-gateway
2023-01-04 00:00:00.259879 UTC,260B0A50,31057,13,nuig-new-gateway
2023-01-04 00:00:00.267808 UTC,106B8A6D,627,8,eui-00800000a0004e9f
2023-01-04 00:00:00.305691 UTC,011B0ADE,41200,0,ifremer-doi-gateway
2023-01-04 00:00:00.306041 UTC,00E8F365,41201,0,ifremer-doi-gateway
2023-01-04 00:00:00.306349 UTC,01C01E59,25999,0,ifremer-doi-gateway
2023-01-04 00:00:00.307517 UTC,001F8B35,25448,0,ifremer-doi-gateway
2023-01-04 00:00:00.31506 UTC,01F48B2C,6166,0,ac1f09fffe06d9fd
2023-01-04 00:00:00.341057 UTC,11DD1B71,17648,8,eui-00800000a00061e3
2023-01-04 00:00:00.350254 UTC,260B721B,1554,13,nuig-new-gateway
2023-01-04 00:00:00.351446 UTC,11DD1B71,17648,8,eui-00800000a00061e0
2023-01-04 00:00:00.373128 UTC,260B7CB6,240,13,csn-mtcdtip-005f06
2023-01-04 00:00:00.373375 UTC,00E6A5D2,6,0,ofi-kerarbury-sth
2023-01-04 00:00:00.420662 UTC,116B5536,17513,8,eui-00800000a00061e3
2023-01-04 00:00:00.425369 UTC,10CE0F67,8787,8,eui-00800000a0004e9f
2023-01-04 00:00:00.481899 UTC,10E81630,29268,8,eui-00800000a00061e3
2023-01-04 00:00:00.4837 UTC,10E81630,29524,8,eui-00800000a0004e9f
2023-01-04 00:00:00.493256 UTC,260BF56E,200,13,csn-mtcdtip-005f06
2023-01-04 00:00:00.496281 UTC,005EC002,30103,0,ifremer-doi-gateway
2023-01-04 00:00:00.49634 UTC,0046AB1A,20054,0,ifremer-doi-gateway
2023-01-04 00:00:00.496589 UTC,00F4EC14,42876,0,ifremer-doi-gateway
2023-01-04 00:00:00.496787 UTC,005E7003,33995,0,ifremer-doi-gateway
2023-01-04 00:00:00.543953 UTC,493D1651,49114,24,eui-3436323866005100
2023-01-04 00:00:00.566082 UTC,008658FE,16374,0,eui-3436323866005100
2023-01-04 00:00:00.574906 UTC,09D09C8D,32805,4,eui-3436323866005100
2023-01-04 00:00:00.580885 UTC,116F8133,17621,8,eui-00800000a00061e0
2023-01-04 00:00:00.599716 UTC,1069908A,4463,8,eui-00800000a0004e9f
2023-01-04 00:00:00.600345 UTC,116F815F,17621,8,eui-00800000a0004e9f
2023-01-04 00:00:00.601298 UTC,1069908A,4463,8,eui-00800000a00061e3
2023-01-04 00:00:00.617028 UTC,260B3FEE,249,13,csn-mtcdtip-005f06
2023-01-04 00:00:00.617208 UTC,260BC1BD,145,13,csn-mtcdtip-005f06
2023-01-04 00:00:00.636491 UTC,00F4EC14,43009,0,ifremer-doi-gateway
2023-01-04 00:00:00.63652 UTC,00892C1A,38992,0,ifremer-doi-gateway
2023-01-04 00:00:00.636528 UTC,005D6004,63690,0,ifremer-doi-gateway
2023-01-04 00:00:00.63656 UTC,00A84D1D,34813,0,ifremer-doi-gateway
2023-01-04 00:00:00.641117 UTC,3269908A,4589,19,eui-00800000a00061e0
2023-01-04 00:00:00.643737 UTC,008FB0B2,20344,0,eui-3436323866005100
2023-01-04 00:00:00.707994 UTC,117BEA7C,5492,8,eui-00800000a0004e9f
2023-01-04 00:00:00.731151 UTC,11AF92AA,36642,8,ch-zrh-kaeferberg
2023-01-04 00:00:00.732479 UTC,10182EEF,8968,8,eui-00800000a00061e3
2023-01-04 00:00:00.741927 UTC,260BFD9D,20234,13,csn-mtcdtip-005f06
2023-01-04 00:00:00.818073 UTC,284EA73E,19750,14,tzl-campus-wtp
2023-01-04 00:00:00.825233 UTC,014E1E95,39332,0,ifremer-doi-gateway
2023-01-04 00:00:00.825236 UTC,00D2D5B3,25793,0,ifremer-doi-gateway
2023-01-04 00:00:00.826046 UTC,0106444E,25987,0,ifremer-doi-gateway
2023-01-04 00:00:00.865341 UTC,260B6BF8,42571,13,csn-mtcdtip-005f06
2023-01-04 00:00:00.921072 UTC,B6367EAA,12832,200036,eui-00800000a00061e0
2023-01-04 00:00:00.92526 UTC,01BF3D83,1917,0,ch-zrh-kaeferberg
2023-01-04 00:00:00.968984 UTC,00E8F365,41201,0,ifremer-doi-gateway
2023-01-04 00:00:00.971545 UTC,005EC002,30103,0,ifremer-doi-gateway
2023-01-04 00:00:00.973775 UTC,001F8B35,25448,0,ifremer-doi-gateway
2023-01-04 00:00:00.973792 UTC,011B0ADE,41200,0,ifremer-doi-gateway
2023-01-04 00:00:01.046303 UTC,01F12148,1876,0,eui-3436323866005100
2023-01-04 00:00:01.075765 UTC,260BEDE2,3459,13,csn-mtcdtip-005f06
2023-01-04 00:00:01.083448 UTC,007946A8,29579,0,uhv3-roundtop-tower
2023-01-04 00:00:01.096462 UTC,111CF29E,17565,8,eui-00800000a0004e9f
2023-01-04 00:00:01.100853 UTC,111CF29E,17565,8,eui-00800000a00061e0
2023-01-04 00:00:01.100936 UTC,111CF29E,17565,8,eui-00800000a00061e3
2023-01-04 00:00:01.157021 UTC,0046AB1A,20054,0,ifremer-doi-gateway
2023-01-04 00:00:01.16045 UTC,00892C1A,38992,0,ifremer-doi-gateway
2023-01-04 00:00:01.160467 UTC,005E7003,33995,0,ifremer-doi-gateway
2023-01-04 00:00:01.160592 UTC,00F4EC14,42876,0,ifremer-doi-gateway
2023-01-04 00:00:01.162902 UTC,01280BD0,23441,0,eui-00800000a00061e0
2023-01-04 00:00:01.191288 UTC,1143D037,2561,8,eui-00800000a0004e9f
2023-01-04 00:00:01.221374 UTC,1088F82E,17806,8,eui-00800000a00061e0
2023-01-04 00:00:01.221744 UTC,11FC2600,12209,8,eui-00800000a00061e0
2023-01-04 00:00:01.247281 UTC,11FC2600,1457,8,eui-00800000a0004e9f
2023-01-04 00:00:01.247322 UTC,1088F82E,17166,8,eui-00800000a0004e9f
2023-01-04 00:00:01.280743 UTC,10F13F13,22643,8,eui-00800000a00061e0
2023-01-04 00:00:01.295884 UTC,00A84D1D,34813,0,ifremer-doi-gateway
2023-01-04 00:00:01.296397 UTC,005D6004,63690,0,ifremer-doi-gateway
2023-01-04 00:00:01.296724 UTC,00F4EC14,43009,0,ifremer-doi-gateway
2023-01-04 00:00:01.298081 UTC,014E1E95,39332,0,ifremer-doi-gateway
2023-01-04 00:00:01.307424 UTC,109D81C7,4086,8,eui-00800000a0004e9f
2023-01-04 00:00:01.384426 UTC,11E1C205,4382,8,eui-00800000a00061e0
2023-01-04 00:00:01.434984 UTC,10F1F08B,30318,8,eui-00800000a00061e0
2023-01-04 00:00:01.440537 UTC,115C7155,3740,8,eui-00800000a00061e0
2023-01-04 00:00:01.441164 UTC,10F1F08B,30062,8,eui-00800000a00061e3
2023-01-04 00:00:01.494729 UTC,0106444E,25987,0,ifremer-doi-gateway
2023-01-04 00:00:01.495952 UTC,00D2D5B3,25793,0,ifremer-doi-gateway
2023-01-04 00:00:01.497293 UTC,00D5CC2E,33912,0,eui-3436323866005100
2023-01-04 00:00:01.508637 UTC,10E4E7D1,12535,8,eui-00800000a0004e9f
2023-01-04 00:00:01.550895 UTC,11D81806,1921,8,eui-00800000a00061e3
2023-01-04 00:00:01.554275 UTC,009E6F7B,37,0,tzl-campus-wtp
2023-01-04 00:00:01.563875 UTC,260843AF,37849,13,nuig-new-gateway
2023-01-04 00:00:01.56402 UTC,00EB13E3,48235,0,lora-db0fc
2023-01-04 00:00:01.582861 UTC,10465915,28265,8,eui-00800000a00061e0
2023-01-04 00:00:01.589316 UTC,11A57A04,2300,8,eui-00800000a0004e9f
2023-01-04 00:00:01.591706 UTC,0052E1F9,24511,0,eui-3436323866005100
2023-01-04 00:00:01.60739 UTC,00EE9380,10306,0,eui-3436323866005100
2023-01-04 00:00:01.633781 UTC,005EC002,30103,0,ifremer-doi-gateway
2023-01-04 00:00:01.633913 UTC,001F8B35,25448,0,ifremer-doi-gateway
2023-01-04 00:00:01.633949 UTC,00E8F365,41201,0,ifremer-doi-gateway
2023-01-04 00:00:01.634013 UTC,011B0ADE,41200,0,ifremer-doi-gateway
2023-01-04 00:00:01.646615 UTC,10D60546,2689,8,eui-00800000a00061e3
2023-01-04 00:00:01.67866 UTC,007FA43A,3838,0,lora-db0fc
2023-01-04 00:00:01.689651 UTC,00BCDE3A,17708,0,nuvola-nz-1016-lansdowne
2023-01-04 00:00:01.696073 UTC,1153DB70,6229,8,eui-00800000a00061e0
2023-01-04 00:00:01.730639 UTC,00892C1A,38992,0,ifremer-doi-gateway
2023-01-04 00:00:01.73485 UTC,1153DB70,6229,8,eui-00800000a0004e9f
2023-01-04 00:00:01.739746 UTC,00F4EC14,42876,0,ifremer-doi-gateway
2023-01-04 00:00:01.739869 UTC,0046AB1A,20054,0,ifremer-doi-gateway
2023-01-04 00:00:01.745786 UTC,005E7003,33995,0,ifremer-doi-gateway
2023-01-04 00:00:01.766609 UTC,1058E4DF,20947,8,eui-00800000a0004e9f
2023-01-04 00:00:01.807591 UTC,011440EB,33867,0,eui-3436323866005100
2023-01-04 00:00:01.83258 UTC,1186C824,4994,8,eui-00800000a0004e9f
2023-01-04 00:00:01.865353 UTC,00F4EC14,43009,0,ifremer-doi-gateway
2023-01-04 00:00:01.865624 UTC,00A84D1D,34813,0,ifremer-doi-gateway
2023-01-04 00:00:01.86567 UTC,014E1E95,39332,0,ifremer-doi-gateway
2023-01-04 00:00:01.88769 UTC,005D6004,63690,0,ifremer-doi-gateway
2023-01-04 00:00:01.914807 UTC,260B8726,16815,13,csn-mtcdtip-005f06
2023-01-04 00:00:01.966483 UTC,00D2D5B3,25793,0,ifremer-doi-gateway
2023-01-04 00:00:01.978027 UTC,0106444E,25987,0,ifremer-doi-gateway
2023-01-04 00:00:02.003133 UTC,01E1418D,34434,0,eui-3436323866005100
2023-01-04 00:00:02.040616 UTC,260899FA,36310,13,nuig-new-gateway
2023-01-04 00:00:02.048051 UTC,1124790F,14626,8,eui-00800000a0004e9f
2023-01-04 00:00:02.126857 UTC,11108153,23769,8,eui-00800000a0004e9f
2023-01-04 00:00:02.154285 UTC,11108153,23769,8,eui-00800000a00061e0
2023-01-04 00:00:02.171119 UTC,005EC002,30103,0,ifremer-doi-gateway
2023-01-04 00:00:02.171217 UTC,011B0ADE,41200,0,ifremer-doi-gateway
2023-01-04 00:00:02.174139 UTC,00E8F365,41201,0,ifremer-doi-gateway
2023-01-04 00:00:02.17694 UTC,001F8B35,25448,0,ifremer-doi-gateway
2023-01-04 00:00:02.184529 UTC,109876EE,20844,8,eui-00800000a00061e0
2023-01-04 00:00:02.187579 UTC,109876EE,20844,8,eui-00800000a0004e9f
2023-01-04 00:00:02.246233 UTC,004059DA,60618,0,uhv3-roundtop-tower
2023-01-04 00:00:02.24784 UTC,10B8C085,12518,8,eui-00800000a0004e9f
2023-01-04 00:00:02.311861 UTC,260B4152,24521,13,nuig-new-gateway
2023-01-04 00:00:02.366296 UTC,1846B0DF,17439,00000C,uhv3-roundtop-tower
2023-01-04 00:00:02.367515 UTC,00892C1A,38992,0,ifremer-doi-gateway
2023-01-04 00:00:02.37669 UTC,00F4EC14,42876,0,ifremer-doi-gateway
2023-01-04 00:00:02.376804 UTC,0046AB1A,20054,0,ifremer-doi-gateway
2023-01-04 00:00:02.377116 UTC,005E7003,33995,0,ifremer-doi-gateway
2023-01-04 00:00:02.392403 UTC,10E97356,20802,8,eui-00800000a00061e0
2023-01-04 00:00:02.45859 UTC,11EDD8B4,24400,8,eui-00800000a00061e0
2023-01-04 00:00:02.472453 UTC,2946E7E4,36710,14,tzl-campus-wtp
2023-01-04 00:00:02.504271 UTC,014E1E95,39332,0,ifremer-doi-gateway
2023-01-04 00:00:02.504297 UTC,005D6004,63690,0,ifremer-doi-gateway
2023-01-04 00:00:02.519913 UTC,00A84D1D,34813,0,ifremer-doi-gateway
2023-01-04 00:00:02.52072 UTC,10DEDE0C,27886,8,eui-00800000a0004e9f
2023-01-04 00:00:02.520973 UTC,10DEDE0C,27886,8,eui-00800000a00061e0
2023-01-04 00:00:02.553447 UTC,11001B82,17610,8,eui-00800000a00061e3
2023-01-04 00:00:02.566481 UTC,260B1F4A,52672,13,csn-mtcdtip-005f06
2023-01-04 00:00:02.56675 UTC,11EDD8B4,24400,8,eui-00800000a0004e9f
2023-01-04 00:00:02.581719 UTC,00F4EC14,43009,0,ifremer-doi-gateway
2023-01-04 00:00:02.608896 UTC,00D2D5B3,25793,0,ifremer-doi-gateway
2023-01-04 00:00:02.61592 UTC,0106444E,25987,0,ifremer-doi-gateway
2023-01-04 00:00:02.615987 UTC,115F6C73,1836,8,eui-00800000a00061e3
2023-01-04 00:00:02.641831 UTC,012AF712,0,0,ofi-kerarbury-sth
2023-01-04 00:00:02.667129 UTC,116F79DA,1253,8,eui-00800000a0004e9f
2023-01-04 00:00:02.667418 UTC,260B2D12,57643,13,csn-mtcdtip-005f06
2023-01-04 00:00:02.758593 UTC,011B0ADE,41200,0,ifremer-doi-gateway
2023-01-04 00:00:02.760443 UTC,001F8B35,25448,0,ifremer-doi-gateway
2023-01-04 00:00:02.760985 UTC,00E8F365,41201,0,ifremer-doi-gateway
2023-01-04 00:00:02.761365 UTC,005EC002,30103,0,ifremer-doi-gateway
2023-01-04 00:00:02.793319 UTC,2948DDBB,36653,14,tzl-campus-wtp
2023-01-04 00:00:02.82143 UTC,10E19476,4851,8,eui-00800000a00061e0
2023-01-04 00:00:02.824267 UTC,460B8F75,58538,23,csn-mtcdtip-005f06
2023-01-04 00:00:02.824464 UTC,11CB2EA8,3184,8,eui-00800000a00061e0
2023-01-04 00:00:02.824547 UTC,108100FE,46672,8,eui-00800000a00061e0
2023-01-04 00:00:02.824617 UTC,56E99C5C,35795,00002B,eui-00800000a00061e3
2023-01-04 00:00:02.82791 UTC,10E19476,4851,8,eui-00800000a0004e9f
2023-01-04 00:00:02.852899 UTC,7.92E+046,22315,0,eui-3436323866005100
2023-01-04 00:00:02.858003 UTC,00892C1A,38992,0,ifremer-doi-gateway
2023-01-04 00:00:02.871957 UTC,0046AB1A,20054,0,ifremer-doi-gateway
2023-01-04 00:00:02.874087 UTC,005E7003,33995,0,ifremer-doi-gateway
2023-01-04 00:00:02.874626 UTC,2700AFAC,53717,13,tzl-campus-wtp
2023-01-04 00:00:02.875384 UTC,00F4EC14,42876,0,ifremer-doi-gateway
2023-01-04 00:00:02.888922 UTC,11792814,4979,8,eui-00800000a0004e9f
2023-01-04 00:00:02.889019 UTC,11792814,4979,8,eui-00800000a00061e0
2023-01-04 00:00:02.982319 UTC,309EEE4D,24314,18,eui-3436323866005100
2023-01-04 00:00:02.984584 UTC,00F4EC14,43009,0,ifremer-doi-gateway
2023-01-04 00:00:02.984594 UTC,014E1E95,39332,0,ifremer-doi-gateway
2023-01-04 00:00:02.984726 UTC,005D6004,63690,0,ifremer-doi-gateway
2023-01-04 00:00:02.990426 UTC,00A84D1D,34813,0,ifremer-doi-gateway
2023-01-04 00:00:03.025074 UTC,0124AF9F,6749,0,eui-3436323866005100
2023-01-04 00:00:03.061092 UTC,260894B2,10821,13,nuig-new-gateway
2023-01-04 00:00:03.066285 UTC,01E79CD0,1233,0,uhv3-roundtop-tower
2023-01-04 00:00:03.066984 UTC,1159B337,799,8,eui-00800000a0004e9f
2023-01-04 00:00:03.070408 UTC,012C7587,24231,0,eui-3436323866005100
2023-01-04 00:00:03.080887 UTC,001E631C,23940,0,uhv3-hcc-library
2023-01-04 00:00:03.081877 UTC,1159B337,799,8,eui-00800000a00061e0
2023-01-04 00:00:03.081899 UTC,1159B337,799,8,eui-00800000a00061e3
2023-01-04 00:00:03.083587 UTC,260B220D,18373,13,csn-mtcdtip-005f06
2023-01-04 00:00:03.096071 UTC,0106444E,25987,0,ifremer-doi-gateway
2023-01-04 00:00:03.09639 UTC,011B608F,59071,0,tzl-campus-wtp
2023-01-04 00:00:03.096641 UTC,260BE148,13665,13,nuig-new-gateway
2023-01-04 00:00:03.101561 UTC,00D2D5B3,25793,0,ifremer-doi-gateway
2023-01-04 00:00:03.162964 UTC,10AB8882,17311,8,eui-00800000a00061e0
2023-01-04 00:00:03.220222 UTC,260BFA58,21673,13,csn-mtcdtip-005f06
2023-01-04 00:00:03.221103 UTC,005EC002,30103,0,ifremer-doi-gateway
2023-01-04 00:00:03.224974 UTC,001F8B35,25448,0,ifremer-doi-gateway
2023-01-04 00:00:03.224991 UTC,00E8F365,41201,0,ifremer-doi-gateway
2023-01-04 00:00:03.225047 UTC,011B0ADE,41200,0,ifremer-doi-gateway
2023-01-04 00:00:03.252468 UTC,110BF784,14633,8,eui-00800000a00061e0
2023-01-04 00:00:03.255197 UTC,28BF5D18,21512,14,tzl-campus-wtp
2023-01-04 00:00:03.273318 UTC,0991A57F,815,4,ch-zrh-kaeferberg
2023-01-04 00:00:03.323206 UTC,005E7003,33995,0,ifremer-doi-gateway
2023-01-04 00:00:03.323738 UTC,0046AB1A,20054,0,ifremer-doi-gateway
2023-01-04 00:00:03.325155 UTC,00892C1A,38992,0,ifremer-doi-gateway
2023-01-04 00:00:03.325207 UTC,00F4EC14,42876,0,ifremer-doi-gateway
2023-01-04 00:00:03.460391 UTC,00F4EC14,43009,0,ifremer-doi-gateway
2023-01-04 00:00:03.4604 UTC,014E1E95,39332,0,ifremer-doi-gateway
2023-01-04 00:00:03.460488 UTC,005D6004,63690,0,ifremer-doi-gateway
2023-01-04 00:00:03.46053 UTC,00A84D1D,34813,0,ifremer-doi-gateway
2023-01-04 00:00:03.485275 UTC,008DAAFF,1248,0,uhv3-roundtop-tower
2023-01-04 00:00:03.501686 UTC,00C58CBE,3,0,ofi-kerarbury-sth
2023-01-04 00:00:03.53383 UTC,260B82B1,209,13,csn-mtcdtip-005f06
2023-01-04 00:00:03.547367 UTC,11CCFB67,3512,8,eui-00800000a0004e9f
2023-01-04 00:00:03.592424 UTC,0151C7F4,43103,0,uhv3-roundtop-tower
2023-01-04 00:00:03.601244 UTC,29AF4721,22707,14,tzl-campus-wtp
2023-01-04 00:00:03.647711 UTC,260B1112,122,13,csn-mtcdtip-005f06
2023-01-04 00:00:03.655927 UTC,00D102C1,14389,0,uhv3-roundtop-tower
2023-01-04 00:00:03.657785 UTC,260BD879,217,13,csn-mtcdtip-005f06
2023-01-04 00:00:03.658069 UTC,00D2D5B3,25793,0,ifremer-doi-gateway
2023-01-04 00:00:03.658085 UTC,0106444E,25987,0,ifremer-doi-gateway
2023-01-04 00:00:03.66919 UTC,207218,21665,0,eui-3436323866005100
2023-01-04 00:00:03.700379 UTC,260BAD1D,15109,13,nuig-new-gateway
2023-01-04 00:00:03.700702 UTC,29AA18CF,27150,14,tzl-campus-wtp
2023-01-04 00:00:03.706735 UTC,10364A77,8711,8,eui-00800000a0004e9f
2023-01-04 00:00:03.728853 UTC,01A2D6BB,2779,0,uhv3-roundtop-tower
2023-01-04 00:00:03.770674 UTC,11B263EB,12621,8,eui-00800000a0004e9f
2023-01-04 00:00:03.786827 UTC,11B263EB,12621,8,eui-00800000a00061e0
2023-01-04 00:00:03.798887 UTC,005EC002,30103,0,ifremer-doi-gateway
2023-01-04 00:00:03.799055 UTC,011B0ADE,41200,0,ifremer-doi-gateway
2023-01-04 00:00:03.799311 UTC,001F8B35,25448,0,ifremer-doi-gateway
2023-01-04 00:00:03.802595 UTC,00E8F365,41201,0,ifremer-doi-gateway
2023-01-04 00:00:03.806289 UTC,0993B184,6,4,ch-zrh-kaeferberg
